video,class,class_id,n_frames
./kinetics_subset/ice fishing/z6FU6Qkhofs_000076_000086,ice fishing,24,300
./kinetics_subset/ice fishing/VNulfciEozA_000020_000030,ice fishing,24,146
./kinetics_subset/ice skating/xUuoMVlroMk_000090_000100,ice skating,25,300
./kinetics_subset/skiing slalom/yhZCJEr4x1w_000050_000060,skiing slalom,26,300
./kinetics_subset/skiing slalom/rEOREKZUBPU_000062_000072,skiing slalom,26,300
./kinetics_subset/washing hands/o6Tx6DWubuQ_000049_000059,washing hands,27,300
./kinetics_subset/washing hands/TDbf6JycI3Q_000014_000024,washing hands,27,300
./kinetics_subset/curling hair/txFUJ7yiWCg_000133_000143,curling hair,28,148
./kinetics_subset/snorkeling/fU9SRLL_jDI_000132_000142,snorkeling,29,300
./kinetics_subset/snorkeling/FSKfYcZfhBI_000091_000101,snorkeling,29,300
./kinetics_subset/drawing/5SzpfQioUrA_000002_000012,drawing,30,300
./kinetics_subset/making bed/ts8xpz5Gfnc_000171_000181,making bed,31,150
./kinetics_subset/making bed/v1E7FRUo6YU_000164_000174,making bed,31,250
./kinetics_subset/bartending/N0ZbDTuOlQA_000059_000069,bartending,32,250
./kinetics_subset/news anchoring/g8Shp9HRTow_000174_000184,news anchoring,33,300
./kinetics_subset/punching bag/UTNocOpYA5s_000000_000010,punching bag,34,240
./kinetics_subset/breading or breadcrumbing/OH4Yfkr43tM_000099_000109,breading or breadcrumbing,35,300
./kinetics_subset/breading or breadcrumbing/urCSwGCTLJ8_000112_000122,breading or breadcrumbing,35,300
./kinetics_subset/sneezing/hI5poy3ZxR4_000019_000029,sneezing,36,300
./kinetics_subset/climbing a rope/7voh4t17_GE_000006_000016,climbing a rope,37,250
./kinetics_subset/building cabinet/QgSd10zUNOk_000042_000052,building cabinet,38,300
./kinetics_subset/building shed/7cxLylIaD8g_000031_000041,building shed,39,150
./kinetics_subset/building shed/JoUC13aa86Q_000025_000035,building shed,39,300
./kinetics_subset/waxing back/kEqAPT9MoCo_000114_000124,waxing back,40,300
./kinetics_subset/pushing car/C7RSLBrpIXA_000000_000010,pushing car,41,125
./kinetics_subset/pushing car/1EVpjfsm0Vc_000017_000027,pushing car,41,300
./kinetics_subset/playing violin/sWFRmD9Of4s_000221_000231,playing violin,42,250
./kinetics_subset/riding mule/l29Pu6CggfU_000112_000122,riding mule,43,210
./kinetics_subset/riding mule/Lyl1RjqZMNk_000003_000013,riding mule,43,300
./kinetics_subset/throwing discus/O_GXIbsmiqM_000002_000012,throwing discus,44,60
./kinetics_subset/throwing discus/SAY7B3MTE6Y_000046_000056,throwing discus,44,120
./kinetics_subset/exercising arm/Hm66l6uPTzE_000020_000030,exercising arm,45,300
./kinetics_subset/snatch weight lifting/mRh74Xey64U_000015_000025,snatch weight lifting,46,168
./kinetics_subset/snatch weight lifting/fko2E1uyu_8_000026_000036,snatch weight lifting,46,200
./kinetics_subset/playing controller/BhaIwy7bhbI_000081_000091,playing controller,47,300
./kinetics_subset/cleaning pool/3Mpb1qFzVE4_000030_000040,cleaning pool,48,300
./kinetics_subset/cleaning pool/AHiu-Okbhho_000008_000018,cleaning pool,48,100
./kinetics_subset/front raises/VFfxJlA7Zvw_000006_000016,front raises,49,250
./kinetics_subset/front raises/XZqrYig2iGc_000035_000045,front raises,49,300
./kinetics_subset/drinking shots/7pIXtKfshBk_000015_000025,drinking shots,50,300
./kinetics_subset/dying hair/aqjUs77UHd0_000119_000129,dying hair,51,300
./kinetics_subset/dying hair/qthN1ZVFtM8_000493_000503,dying hair,51,300
./kinetics_subset/making sushi/l3BXqg2lP2k_000197_000207,making sushi,52,250
./kinetics_subset/gymnastics tumbling/mlzx2bi9nwQ_000059_000069,gymnastics tumbling,53,300
./kinetics_subset/gymnastics tumbling/InM7Quprn0E_000002_000012,gymnastics tumbling,53,300
./kinetics_subset/gargling/UJLr0lDW59g_000019_000029,gargling,54,300
./kinetics_subset/gargling/xVaz2kQsKmg_000270_000280,gargling,54,250
./kinetics_subset/yoga/q1IiVYEOS9U_000058_000068,yoga,55,200
./kinetics_subset/filling eyebrows/Asoiu259ExQ_000245_000255,filling eyebrows,56,300
./kinetics_subset/filling eyebrows/l3qlWrb9PHQ_000111_000121,filling eyebrows,56,110
./kinetics_subset/sign language interpreting/JxgVssMPCkQ_000000_000010,sign language interpreting,57,260
./kinetics_subset/testifying/BTUTdvNdyUQ_000018_000028,testifying,58,300
./kinetics_subset/testifying/x6aMNWIDK7A_000000_000010,testifying,58,300
./kinetics_subset/plastering/8mfa79P0dHk_000048_000058,plastering,59,300
./kinetics_subset/plastering/QexM35wFbsc_000001_000011,plastering,59,300
./kinetics_subset/pole vault/ihOvPhJNt1M_000002_000012,pole vault,60,208
./kinetics_subset/massaging person's head/ClIoQCdhpOo_000029_000039,massaging person's head,61,298
./kinetics_subset/massaging person's head/gYa398oMlSQ_000576_000586,massaging person's head,61,300
./kinetics_subset/skiing crosscountry/eIp0sfzrY_o_000000_000010,skiing crosscountry,62,300
./kinetics_subset/swimming backstroke/daYtZ0t1ACk_000042_000052,swimming backstroke,63,300
./kinetics_subset/swimming backstroke/VepdCmesIaU_000073_000083,swimming backstroke,63,250
./kinetics_subset/swimming butterfly stroke/757jgRU9s04_000001_000011,swimming butterfly stroke,64,300
./kinetics_subset/swimming butterfly stroke/LwzeGWT7_bk_000014_000024,swimming butterfly stroke,64,150
./kinetics_subset/tossing coin/eVvtDRZtCO0_000013_000023,tossing coin,65,75
./kinetics_subset/unboxing/bzUhx8PkXi4_000043_000053,unboxing,66,240
./kinetics_subset/unboxing/oAhMYcExxgI_000002_000012,unboxing,66,300
./kinetics_subset/bending back/UdVsbIeCgDQ_000027_000037,bending back,67,150
./kinetics_subset/taking a shower/72Q8YrtVEIo_000059_000069,taking a shower,68,298
./kinetics_subset/taking a shower/E8AN1tu0e3c_000016_000026,taking a shower,68,240
./kinetics_subset/hurdling/q2-YgfjojXw_000018_000028,hurdling,69,300
./kinetics_subset/hurdling/JvZfeAuVWPY_000004_000014,hurdling,69,94
./kinetics_subset/ripping paper/u_IXdclQnPk_000000_000010,ripping paper,70,250
./kinetics_subset/planting trees/7nA5QNPHEjY_000004_000014,planting trees,71,300
./kinetics_subset/planting trees/Iwne-F4F-3w_000350_000360,planting trees,71,300
./kinetics_subset/hula hooping/0GCBMmyqa7Q_000002_000012,hula hooping,72,180
./kinetics_subset/recording music/cdHGz2izwzo_000004_000014,recording music,73,300
./kinetics_subset/recording music/ox1uXReDjFM_000013_000023,recording music,73,273
./kinetics_subset/wrapping present/Wg1gfvy7TDQ_000069_000079,wrapping present,74,300
./kinetics_subset/wrapping present/4Pk9G60qB1M_000074_000084,wrapping present,74,300
./kinetics_subset/mopping floor/oBWsovXUbbg_000008_000018,mopping floor,75,300
./kinetics_subset/eating watermelon/BJweahZ1ZjM_000095_000105,eating watermelon,76,300
./kinetics_subset/eating watermelon/Gt7YtDehFuA_000076_000086,eating watermelon,76,300
./kinetics_subset/folding napkins/tPsqABAegN8_000016_000026,folding napkins,77,300
./kinetics_subset/tying bow tie/GR53ETFBzNo_000026_000036,tying bow tie,78,300
./kinetics_subset/washing feet/pXVBSEYnQAw_000183_000193,washing feet,79,250
./kinetics_subset/washing feet/ASvSzkKckIY_000135_000145,washing feet,79,300
./kinetics_subset/playing bass guitar/glRQjS3tAXE_000220_000230,playing bass guitar,80,300
./kinetics_subset/shot put/Q6Pa4LpfK6Q_000004_000014,shot put,81,60
./kinetics_subset/shot put/Tv0-bBaGsto_000001_000011,shot put,81,278
./kinetics_subset/clean and jerk/McUma5bKyXE_000010_000020,clean and jerk,82,224
./kinetics_subset/clean and jerk/R12ni65k4pc_000010_000020,clean and jerk,82,165
./kinetics_subset/squat/xvbDRcfR4e4_000006_000016,squat,83,300
./kinetics_subset/dancing charleston/_VV8Gs9SK2g_000084_000094,dancing charleston,84,300
./kinetics_subset/dancing charleston/xCNy5tJpTOc_000078_000088,dancing charleston,84,300
./kinetics_subset/riding a bike/RNQ32YmnezQ_000062_000072,riding a bike,85,300
./kinetics_subset/arranging flowers/S_oc50X2EEA_000019_000029,arranging flowers,86,300
./kinetics_subset/golf putting/io7jKGURNR8_000007_000017,golf putting,87,224
./kinetics_subset/golf putting/uWCtNXdW9hk_000012_000022,golf putting,87,300
./kinetics_subset/pumping fist/Xz-OELcFxSY_000004_000014,pumping fist,88,300
./kinetics_subset/driving tractor/WtnQKvOuukE_000081_000091,driving tractor,89,300
./kinetics_subset/driving tractor/wiiwhQ9uqvM_000018_000028,driving tractor,89,300
./kinetics_subset/auctioning/j-uQCNW8ATw_000017_000027,auctioning,90,161
./kinetics_subset/auctioning/HZ4BdT2iGWY_000149_000159,auctioning,90,300
./kinetics_subset/playing saxophone/--7VUM9MKg4_000136_000146,playing saxophone,91,104
./kinetics_subset/cutting watermelon/0-NbSopwDlk_000094_000104,cutting watermelon,92,300
./kinetics_subset/cutting watermelon/L96R5eXY9dY_000028_000038,cutting watermelon,92,250
./kinetics_subset/blowing leaves/AxQzyacF22k_000013_000023,blowing leaves,93,300
./kinetics_subset/grooming horse/LUAEVO-kP2E_000562_000572,grooming horse,94,300
./kinetics_subset/grooming horse/O2N8inmAz8c_000009_000019,grooming horse,94,300
./kinetics_subset/hugging/wHgaTC8bh68_000178_000188,hugging,95,250
./kinetics_subset/hugging/zberDcJDup0_000047_000057,hugging,95,300
./kinetics_subset/playing cymbals/WqGv0r1VZ_E_000054_000064,playing cymbals,96,300
./kinetics_subset/crying/-73Kg-MKmwE_000010_000020,crying,97,250
./kinetics_subset/crying/z_luw-GEevM_000005_000015,crying,97,150
./kinetics_subset/wrestling/Kaz7_LaW7k8_000000_000010,wrestling,98,300
./kinetics_subset/garbage collecting/gQX2pEVSB7Y_000020_000030,garbage collecting,99,300
./kinetics_subset/garbage collecting/NGzwJL9-4is_000298_000308,garbage collecting,99,300
./kinetics_subset/answering questions/AqPeHqTDfGE_000068_000078,answering questions,100,300
./kinetics_subset/answering questions/wTnHcvKCdKs_000105_000115,answering questions,100,240
./kinetics_subset/making a cake/QMZU9WAF9Qg_000063_000073,making a cake,101,240
./kinetics_subset/climbing tree/-oBhLbOiX0A_000036_000046,climbing tree,102,300
./kinetics_subset/climbing tree/m0wo07UGmaQ_000016_000026,climbing tree,102,300
./kinetics_subset/punching person (boxing)/RSFPNoAqd2w_000055_000065,punching person (boxing),103,260
./kinetics_subset/checking tires/eR2o-xw28HI_000053_000063,checking tires,104,300
./kinetics_subset/checking tires/2-M5TagOHMw_000003_000013,checking tires,104,300
./kinetics_subset/faceplanting/PSb7rWq5drY_000034_000044,faceplanting,105,250
./kinetics_subset/faceplanting/kwuAR3lbRxI_000010_000020,faceplanting,105,300
./kinetics_subset/krumping/lr02DROpP4E_000001_000011,krumping,106,300
./kinetics_subset/singing/mlxIjOqPz8A_000073_000083,singing,107,300
./kinetics_subset/singing/dxnmqBn6Elc_000086_000096,singing,107,300
./kinetics_subset/playing clarinet/m_aZrqBzUr0_000354_000364,playing clarinet,108,300
./kinetics_subset/skateboarding/Xw-WT0yUimg_000334_000344,skateboarding,109,300
./kinetics_subset/skateboarding/XtQYabalG6Y_000016_000026,skateboarding,109,250
./kinetics_subset/surfing crowd/4g9BE6a3ZBQ_000120_000130,surfing crowd,110,300
./kinetics_subset/surfing crowd/NpC1l2GeKRg_000022_000032,surfing crowd,110,300
./kinetics_subset/ski jumping/-ge-jtX1Ik0_000010_000020,ski jumping,111,300
./kinetics_subset/playing trumpet/9zPSvQlQh5k_000003_000013,playing trumpet,112,60
./kinetics_subset/playing trumpet/iz8en2Dt7vE_000017_000027,playing trumpet,112,150
./kinetics_subset/air drumming/QxZ5kYEJWxw_000004_000014,air drumming,113,300
./kinetics_subset/cleaning toilet/hKMh4a1ppPM_000103_000113,cleaning toilet,114,300
./kinetics_subset/cleaning toilet/f8XjrzVqfUg_000070_000080,cleaning toilet,114,300
./kinetics_subset/petting animal (not cat)/1QcJSpmR97Q_000016_000026,petting animal (not cat),115,150
./kinetics_subset/petting animal (not cat)/xfAQY2DP5LE_000020_000030,petting animal (not cat),115,300
./kinetics_subset/triple jump/yekMo_M4wTQ_000000_000010,triple jump,116,300
./kinetics_subset/making pizza/yi_opsuyb8g_000014_000024,making pizza,117,300
./kinetics_subset/hoverboarding/gicTnDJ5y7g_000006_000016,hoverboarding,118,255
./kinetics_subset/eating cake/jeKgg_IKOLE_000002_000012,eating cake,119,300
./kinetics_subset/tickling/rl9KKEaeGzA_000180_000190,tickling,120,300
./kinetics_subset/tickling/Z9uJo-icv6g_001496_001506,tickling,120,300
./kinetics_subset/salsa dancing/s0kTTBizjl8_000106_000116,salsa dancing,121,300
./kinetics_subset/salsa dancing/XNmy31WWVw8_000055_000065,salsa dancing,121,300
./kinetics_subset/eating doughnuts/_bF6pD1OPGw_000002_000012,eating doughnuts,122,300
./kinetics_subset/skiing (not slalom or crosscountry)/TS4PJQAO27s_000003_000013,skiing (not slalom or crosscountry),123,150
./kinetics_subset/skiing (not slalom or crosscountry)/8THYn_PmBw4_000083_000093,skiing (not slalom or crosscountry),123,300
./kinetics_subset/sharpening pencil/aj2s1GLbLYo_000005_000015,sharpening pencil,124,300
./kinetics_subset/kissing/Qw-slbWE8Bs_000019_000029,kissing,125,150
./kinetics_subset/running on treadmill/DiTdmdqKVRA_000045_000055,running on treadmill,126,300
./kinetics_subset/biking through snow/VArzrporV9g_000050_000060,biking through snow,127,300
./kinetics_subset/bowling/VihiNVOAx9g_000007_000017,bowling,128,158
./kinetics_subset/playing kickball/Sa25C3h-F6A_000177_000187,playing kickball,129,300
./kinetics_subset/playing trombone/jVlljOCmmK0_000003_000013,playing trombone,130,300
./kinetics_subset/playing trombone/9FisBO13eQ4_000030_000040,playing trombone,130,300
./kinetics_subset/exercising with an exercise ball/3PZEmjxbXZI_000044_000054,exercising with an exercise ball,131,300
./kinetics_subset/marching/xDdkv6DnkP8_000008_000018,marching,132,250
./kinetics_subset/marching/yWkdBcwE05w_000169_000179,marching,132,300
./kinetics_subset/deadlifting/Xx3JyFcmDcQ_000008_000018,deadlifting,133,148
./kinetics_subset/smoking/xhqnmHDI5Hg_000388_000398,smoking,134,300
./kinetics_subset/riding camel/l5ay98yfcT8_000009_000019,riding camel,135,124
./kinetics_subset/riding camel/1lZTkyXPh34_000001_000011,riding camel,135,184
./kinetics_subset/texting/62YF_4aZBk4_000567_000577,texting,136,300
./kinetics_subset/texting/kQPdUaHZJcg_000022_000032,texting,136,300
./kinetics_subset/breakdancing/4T2F4PQ97GE_000008_000018,breakdancing,137,175
./kinetics_subset/tasting food/V-KZJfx8XCc_000116_000126,tasting food,138,300
./kinetics_subset/tasting food/-F4jKfyxGQ4_000108_000118,tasting food,138,300
./kinetics_subset/playing cricket/2JKNib-cv34_000549_000559,playing cricket,139,250
./kinetics_subset/using computer/PsQCoFqlg1M_000120_000130,using computer,140,300
./kinetics_subset/using computer/eRhJqB9hfTc_000001_000011,using computer,140,300
./kinetics_subset/using segway/BljsNtmJDUU_000021_000031,using segway,141,300
./kinetics_subset/using segway/__wsytoYy3Q_000055_000065,using segway,141,300
./kinetics_subset/playing guitar/qH1dW6YUeUo_000273_000283,playing guitar,142,300
./kinetics_subset/tapping pen/7cn3Bz-Zq8w_000138_000148,tapping pen,143,250
./kinetics_subset/tapping pen/hso5h4MEtC8_000021_000031,tapping pen,143,250
./kinetics_subset/doing nails/i4u4TC8HVZA_000075_000085,doing nails,144,70
./kinetics_subset/brush painting/bIZ-ZHKVuq0_000627_000637,brush painting,145,300
./kinetics_subset/brush painting/MdMsl1KTDww_000243_000253,brush painting,145,300
./kinetics_subset/slacklining/ukQWQ--cd7o_000003_000013,slacklining,146,300
./kinetics_subset/slacklining/2tqU3wt7RMw_000047_000057,slacklining,146,300
./kinetics_subset/robot dancing/5MrCyAqp0Rs_000002_000012,robot dancing,147,217
./kinetics_subset/yawning/Hlx8XP-VZv4_000068_000078,yawning,148,220
./kinetics_subset/yawning/gKTC8vwvW6E_000039_000049,yawning,148,300
./kinetics_subset/drinking beer/RWVlmzo4CdY_000001_000011,drinking beer,149,300
./kinetics_subset/feeding fish/RMXnwUfPfv4_000000_000010,feeding fish,150,300
./kinetics_subset/feeding fish/-15UpGVyV4w_000001_000011,feeding fish,150,199
./kinetics_subset/cooking egg/l7t413Q1nEw_000284_000294,cooking egg,151,300
./kinetics_subset/playing monopoly/fiPxfO5WCRo_000378_000388,playing monopoly,152,300
./kinetics_subset/egg hunting/3_L_5PJerPw_000308_000318,egg hunting,153,300
./kinetics_subset/egg hunting/5s18pSWPKY0_000019_000029,egg hunting,153,300
./kinetics_subset/climbing ladder/ko29Hjq92p8_000067_000077,climbing ladder,154,300
./kinetics_subset/climbing ladder/70Er7J3srS0_000001_000011,climbing ladder,154,300
./kinetics_subset/dancing gangnam style/rTrUoH8bPls_000005_000015,dancing gangnam style,155,300
./kinetics_subset/laying bricks/J0ZEeOn5QbQ_000585_000595,laying bricks,156,300
./kinetics_subset/laying bricks/fXrFIZUmL-M_000008_000018,laying bricks,156,300
./kinetics_subset/celebrating/PcBiFAHWTX8_000148_000158,celebrating,157,300
./kinetics_subset/push up/7-oMB0k0sSM_000058_000068,push up,158,300
./kinetics_subset/push up/ADaxhBg1di4_000000_000010,push up,158,300
./kinetics_subset/milking cow/tnCsbozzJ4c_000028_000038,milking cow,159,270
./kinetics_subset/milking cow/lEQK_0GlpcU_000019_000029,milking cow,159,290
./kinetics_subset/flying kite/7aUBxzF8sd4_000011_000021,flying kite,160,300
./kinetics_subset/passing American football (not in game)/yYXb7Y9QfUk_000420_000430,passing American football (not in game),161,300
./kinetics_subset/passing American football (not in game)/tKycwSVjsrM_000000_000010,passing American football (not in game),161,300
./kinetics_subset/sled dog racing/uI3JJieSeoE_000082_000092,sled dog racing,162,250
./kinetics_subset/beatboxing/rF8VoQuz4tI_000025_000035,beatboxing,163,150
./kinetics_subset/parkour/xuLKv7wV8gU_000002_000012,parkour,164,250
./kinetics_subset/sword fighting/gnPMxTPhJwg_000206_000216,sword fighting,165,299
./kinetics_subset/sword fighting/_EJXOUCnPZ4_000041_000051,sword fighting,165,300
./kinetics_subset/sanding floor/W6ebrr402EQ_000003_000013,sanding floor,166,300
./kinetics_subset/windsurfing/D4BPjdrFzyo_000026_000036,windsurfing,167,150
./kinetics_subset/windsurfing/_GBgcrA8nH0_000026_000036,windsurfing,167,300
./kinetics_subset/cleaning gutters/nBuzKEWuj18_000040_000050,cleaning gutters,168,300
./kinetics_subset/presenting weather forecast/Ybr8JqtAytI_000043_000053,presenting weather forecast,169,138
./kinetics_subset/presenting weather forecast/OW7hkOxf2mk_000010_000020,presenting weather forecast,169,300
./kinetics_subset/stomping grapes/hg5RjqVrLOY_000056_000066,stomping grapes,170,300
./kinetics_subset/stomping grapes/S4WIEBaufZg_000029_000039,stomping grapes,170,300
./kinetics_subset/playing badminton/od5JlnWF_gE_000007_000017,playing badminton,171,250
./kinetics_subset/changing oil/3h5DzZB6w7g_000293_000303,changing oil,172,300
./kinetics_subset/changing oil/AFP5p_fgPNw_000184_000194,changing oil,172,300
./kinetics_subset/scuba diving/6l7Dqui5Dyk_000329_000339,scuba diving,173,300
./kinetics_subset/riding mechanical bull/iqhjRsO507Y_000003_000013,riding mechanical bull,174,300
./kinetics_subset/riding mechanical bull/nFKZEdatgSc_000016_000026,riding mechanical bull,174,240
./kinetics_subset/skipping rope/vxkzbSCy2cU_000015_000025,skipping rope,175,300
./kinetics_subset/skipping rope/EraTWAIeZZ8_000012_000022,skipping rope,175,300
./kinetics_subset/dunking basketball/JJWIitA7QqI_000021_000031,dunking basketball,176,270
./kinetics_subset/spraying/YYM0nLy1q2M_000024_000034,spraying,177,300
./kinetics_subset/spraying/-LSeaW6ctQA_000045_000055,spraying,177,300
./kinetics_subset/riding mountain bike/nxJ3OAeDA4w_000008_000018,riding mountain bike,178,0
./kinetics_subset/cleaning floor/ADzB-RTmLJU_000004_000014,cleaning floor,179,300
./kinetics_subset/cleaning floor/nYOXbF4vzDc_000002_000012,cleaning floor,179,300
./kinetics_subset/feeding goats/pxjTukRjllA_000033_000043,feeding goats,180,300
./kinetics_subset/feeding goats/CQVEb9xLogE_000004_000014,feeding goats,180,300
./kinetics_subset/somersaulting/X4C522pjiHs_000003_000013,somersaulting,181,300
./kinetics_subset/headbutting/Be7e7VeH4Bs_000061_000071,headbutting,182,300
./kinetics_subset/headbutting/d69_vu5xync_000025_000035,headbutting,182,299
./kinetics_subset/ironing/ZQJS-q13Y-Q_000019_000029,ironing,183,250
./kinetics_subset/pumping gas/yAxeRVOQ4xE_000003_000013,pumping gas,184,250
./kinetics_subset/pumping gas/igXYSZkwlWg_000032_000042,pumping gas,184,300
./kinetics_subset/tap dancing/dZ1EkA3BuQ4_000000_000010,tap dancing,185,300
./kinetics_subset/tap dancing/gCKwz0sOSqA_000238_000248,tap dancing,185,250
./kinetics_subset/playing chess/YZyUsvx_5ck_000085_000095,playing chess,186,300
./kinetics_subset/busking/KQ9hhmeyoSM_000162_000172,busking,187,300
./kinetics_subset/washing dishes/wG1cGREDz1M_000076_000086,washing dishes,188,249
./kinetics_subset/washing dishes/3-aJe_yA5lQ_000011_000021,washing dishes,188,300
./kinetics_subset/knitting/HrM9ox12yVU_000176_000186,knitting,189,300
./kinetics_subset/cheerleading/OAKYkzt35N4_000224_000234,cheerleading,190,300
./kinetics_subset/cheerleading/NAeXDvPrPiw_000074_000084,cheerleading,190,300
./kinetics_subset/dribbling basketball/qoODmONT1a0_000019_000029,dribbling basketball,191,290
./kinetics_subset/applauding/MEJBAV_vE5k_000000_000010,applauding,192,250
./kinetics_subset/applauding/YSGHvSk3xqY_000001_000011,applauding,192,300
./kinetics_subset/blowing nose/8zgQWlLFWXs_000007_000017,blowing nose,193,159
./kinetics_subset/blowing nose/wHAoJwcyKLI_000012_000022,blowing nose,193,300
./kinetics_subset/high jump/PIGs9Qlqqg8_000004_000014,high jump,194,120
./kinetics_subset/massaging legs/M3lYJ-znb7A_000054_000064,massaging legs,195,300
./kinetics_subset/massaging legs/p1Tf9rKotCU_000173_000183,massaging legs,195,300
./kinetics_subset/shearing sheep/PRB3uCXAlsc_000020_000030,shearing sheep,196,149
./kinetics_subset/waxing eyebrows/LSLzeVlyYAU_000029_000039,waxing eyebrows,197,300
./kinetics_subset/waxing eyebrows/hPtOQb3vcBI_000033_000043,waxing eyebrows,197,300
./kinetics_subset/digging/VN2IZNMLekQ_000014_000024,digging,198,100
./kinetics_subset/digging/-5LEMasZdOc_000015_000025,digging,198,300
./kinetics_subset/frying vegetables/7DfvIrBX7ks_000375_000385,frying vegetables,199,300
./kinetics_subset/crawling baby/Wy9A7b7FK_Y_000053_000063,crawling baby,200,300
./kinetics_subset/crawling baby/JtNE-ZlzOE8_000075_000085,crawling baby,200,160
./kinetics_subset/hurling (sport)/tH1qCM-D2l4_000545_000555,hurling (sport),201,250
./kinetics_subset/cleaning shoes/hXAaqobVCa0_000258_000268,cleaning shoes,202,300
./kinetics_subset/cleaning shoes/y9kk0ptXevk_000055_000065,cleaning shoes,202,300
./kinetics_subset/playing bagpipes/BPxC2WjBAbQ_000002_000012,playing bagpipes,203,184
./kinetics_subset/playing bagpipes/xm-E8PQrz7k_000019_000029,playing bagpipes,203,300
./kinetics_subset/rock climbing/Eg1Ow6gaKEQ_000004_000014,rock climbing,204,300
./kinetics_subset/playing tennis/4TfpfZPfM9s_000016_000026,playing tennis,205,300
./kinetics_subset/playing tennis/YD-_BK3KI7E_000060_000070,playing tennis,205,300
./kinetics_subset/country line dancing/CSHnDKV8yBI_000053_000063,country line dancing,206,128
./kinetics_subset/making jewelry/LZbvcxJiyrE_000845_000855,making jewelry,207,300
./kinetics_subset/making jewelry/jt1uPpYD-YU_000779_000789,making jewelry,207,250
./kinetics_subset/riding scooter/rWTbK2jw4FY_000039_000049,riding scooter,208,273
./kinetics_subset/riding scooter/r7AIEmqkHnE_000012_000022,riding scooter,208,300
./kinetics_subset/clay pottery making/x5h_QLUU59Q_000165_000175,clay pottery making,209,300
./kinetics_subset/pushing cart/m6tBO6BS2j0_000102_000112,pushing cart,210,300
./kinetics_subset/pushing cart/rEjSQFehqqs_000050_000060,pushing cart,210,124
./kinetics_subset/playing cards/NEg-wWRcLdI_000557_000567,playing cards,211,300
./kinetics_subset/swinging legs/APUtOhO2T2Q_000006_000016,swinging legs,212,300
./kinetics_subset/swinging legs/HlFxQ9NhCrY_000003_000013,swinging legs,212,176
